term,ngram_len,total_freq,doc_freq_of_62,example_sentence
negative impact,2,16,9,An analysis of the negative impact on private consumption—in accordance with the magnitude of the Ministry of Health’s limitations on the various consumption items and the weight of each item in the household consumption basket—indicates that private consumption is about 27 percent lower than its pre-crisis level.
mobility,1,16,9,"Indicators of the public’s mobility show an increase in the scope of mobility to workplaces, retail and recreation, beginning in mid-April  ."
regions,1,16,8,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
system,1,16,8,"In addition, a NIS 4 billion fund with greater banking system deferred payments for about 530,000 loans, totaling about NIS 6.8 billion to mid-June  ."
pre-crisis,1,16,6,"More than one-third of the economy is shut down, private consumption is lower by about one-quarter relative to the pre-crisis period, and approximately 1 million workers, 24 percent of the workforce, have claimed unemployment benefits."
vaccination,1,16,6,The vaccination campaign is progressing rapidly but the spread of more contagious variants and the still high morbidity level are weighing on a return to strong economic activity.
act,1,15,15,"The Bank of Israel continues to monitor developments in inflation, the real economy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
european,1,15,15,"The tension between the Italian government and European authorities grew stronger, following the proposed budget that is expected to lead to an increase in the deficit in Italy."
one-off,1,15,15,"In Japan, growth was negative in the third quarter, apparently due to one-off factors, and improvement is expected in the next quarter."
governor,1,15,15,"The next decision regarding the interest rate will be published at 16:00 on Monday, January 7, 2019, following which the Governor will hold a press briefing."
bonds increased,2,15,15,The yield spreads between corporate bonds and comparable government bonds increased.
ensure the continued,3,15,15,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee is utilizing a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the continued orderly functioning of the financial markets."
